date,Open,High,Low,Close,Volume,Ticker
2025-10-01 10:47:00,2.5500,2.5500,2.5450,2.5491,8802.0000,AIHS
2025-10-01 10:46:00,2.5500,2.5500,2.5500,2.5500,273.0000,AIHS
2025-10-01 10:45:00,2.5500,2.5500,2.5499,2.5499,328.0000,AIHS
2025-10-01 10:44:00,2.5500,2.5600,2.5400,2.5450,3780.0000,AIHS
2025-10-01 10:43:00,2.5500,2.5700,2.5450,2.5700,11331.0000,AIHS
2025-10-01 10:42:00,2.5489,2.5489,2.5407,2.5407,844.0000,AIHS
2025-10-01 10:41:00,2.5500,2.5500,2.5401,2.5401,13472.0000,AIHS
2025-10-01 10:40:00,2.5400,2.5400,2.5400,2.5400,663.0000,AIHS
2025-10-01 10:39:00,2.5500,2.5500,2.5500,2.5500,110.0000,AIHS
2025-10-01 10:37:00,2.5201,2.5400,2.5200,2.5400,2676.0000,AIHS
2025-10-01 10:36:00,2.5200,2.5200,2.5100,2.5100,1959.0000,AIHS
2025-10-01 10:35:00,2.5200,2.5200,2.5122,2.5122,301.0000,AIHS
2025-10-01 10:34:00,2.5200,2.5200,2.5200,2.5200,992.0000,AIHS
2025-10-01 10:32:00,2.5200,2.5200,2.5200,2.5200,1714.0000,AIHS
2025-10-01 10:31:00,2.5204,2.5204,2.5100,2.5100,13361.0000,AIHS
2025-10-01 10:30:00,2.5250,2.5250,2.5250,2.5250,834.0000,AIHS
2025-10-01 10:29:00,2.5122,2.5299,2.5100,2.5200,2862.0000,AIHS
2025-10-01 10:28:00,2.5400,2.5400,2.5100,2.5100,6811.0000,AIHS
2025-10-01 10:27:00,2.5099,2.5200,2.4957,2.5200,913.0000,AIHS
2025-10-01 10:26:00,2.4790,2.5000,2.4790,2.5000,2762.0000,AIHS
2025-10-01 10:25:00,2.4800,2.4800,2.4753,2.4753,3872.0000,AIHS
2025-10-01 10:23:00,2.4897,2.4897,2.4800,2.4897,1291.0000,AIHS
2025-10-01 10:21:00,2.4808,2.4900,2.4801,2.4900,1491.0000,AIHS
2025-10-01 10:20:00,2.5200,2.5200,2.4800,2.4899,6392.0000,AIHS
2025-10-01 10:19:00,2.5000,2.5100,2.4900,2.4975,2606.0000,AIHS
2025-10-01 10:18:00,2.4997,2.5200,2.4900,2.5100,3614.0000,AIHS
2025-10-01 10:17:00,2.5000,2.5000,2.4901,2.4901,2534.0000,AIHS
2025-10-01 10:16:00,2.4844,2.5000,2.4800,2.4899,3241.0000,AIHS
2025-10-01 10:15:00,2.4800,2.4900,2.4733,2.4807,5662.0000,AIHS
2025-10-01 10:14:00,2.4824,2.5000,2.4500,2.4800,14364.0000,AIHS
2025-10-01 10:13:00,2.5100,2.5200,2.4802,2.4817,20145.0000,AIHS
2025-10-01 10:12:00,2.5350,2.5400,2.5000,2.5050,25323.0000,AIHS
2025-10-01 10:11:00,2.5309,2.5309,2.5309,2.5309,571.0000,AIHS
2025-10-01 10:10:00,2.5450,2.5450,2.5400,2.5400,1729.0000,AIHS
2025-10-01 10:09:00,2.5401,2.5450,2.5401,2.5450,1012.0000,AIHS
2025-10-01 10:08:00,2.5450,2.5450,2.5400,2.5450,651.0000,AIHS
2025-10-01 10:07:00,2.5401,2.5465,2.5401,2.5465,4404.0000,AIHS
2025-10-01 10:06:00,2.5444,2.5450,2.5401,2.5402,1854.0000,AIHS
2025-10-01 10:05:00,2.5500,2.5500,2.5400,2.5450,3351.0000,AIHS
2025-10-01 10:04:00,2.5500,2.5500,2.5500,2.5500,691.0000,AIHS
2025-10-01 10:03:00,2.5500,2.5700,2.5500,2.5500,23030.0000,AIHS
2025-10-01 10:02:00,2.5500,2.5500,2.5500,2.5500,308.0000,AIHS
2025-10-01 10:01:00,2.5600,2.5600,2.5400,2.5500,6520.0000,AIHS
2025-10-01 10:00:00,2.5700,2.5701,2.5600,2.5600,1524.0000,AIHS
2025-10-01 09:59:00,2.5807,2.5900,2.5800,2.5800,5035.0000,AIHS
2025-10-01 09:58:00,2.5900,2.5900,2.5850,2.5899,2217.0000,AIHS
2025-10-01 09:57:00,2.5901,2.6000,2.5900,2.5900,1602.0000,AIHS
2025-10-01 09:56:00,2.6000,2.6100,2.6000,2.6009,838.0000,AIHS
2025-10-01 09:55:00,2.5944,2.6050,2.5900,2.6000,3633.0000,AIHS
2025-10-01 09:53:00,2.5900,2.6200,2.5900,2.6050,3020.0000,AIHS
2025-10-01 09:52:00,2.5800,2.6300,2.5800,2.5806,9572.0000,AIHS
2025-10-01 09:51:00,2.5809,2.5819,2.5809,2.5819,232.0000,AIHS
2025-10-01 09:50:00,2.5900,2.5900,2.5743,2.5800,2067.0000,AIHS
2025-10-01 09:49:00,2.6199,2.6199,2.5906,2.5906,3055.0000,AIHS
2025-10-01 09:48:00,2.5700,2.6199,2.5700,2.6199,3836.0000,AIHS
2025-10-01 09:47:00,2.5700,2.5900,2.5700,2.5800,5471.0000,AIHS
2025-10-01 09:46:00,2.5700,2.5700,2.5700,2.5700,1779.0000,AIHS
2025-10-01 09:45:00,2.5700,2.5800,2.5600,2.5700,4584.0000,AIHS
2025-10-01 09:44:00,2.5600,2.5600,2.5600,2.5600,1410.0000,AIHS
2025-10-01 09:43:00,2.5445,2.5500,2.5445,2.5500,798.0000,AIHS
2025-10-01 09:42:00,2.5491,2.5491,2.5300,2.5337,803.0000,AIHS
2025-10-01 09:41:00,2.5600,2.5700,2.5000,2.5361,31667.0000,AIHS
2025-10-01 09:40:00,2.5789,2.5800,2.5700,2.5800,2486.0000,AIHS
2025-10-01 09:39:00,2.5600,2.5799,2.5600,2.5700,4104.0000,AIHS
2025-10-01 09:38:00,2.5810,2.5810,2.5700,2.5700,2359.0000,AIHS
2025-10-01 09:37:00,2.5800,2.5809,2.5800,2.5809,999.0000,AIHS
2025-10-01 09:36:00,2.5900,2.5900,2.5800,2.5800,2954.0000,AIHS
2025-10-01 09:35:00,2.6000,2.6000,2.5900,2.5900,1614.0000,AIHS
2025-10-01 09:34:00,2.5950,2.6099,2.5900,2.6099,2377.0000,AIHS
2025-10-01 09:31:00,2.6043,2.6043,2.5900,2.5900,848.0000,AIHS
2025-10-01 09:30:00,2.6100,2.6192,2.6000,2.6100,2651.0000,AIHS
2025-10-01 09:29:00,2.5799,2.6147,2.5700,2.5850,5344.0000,AIHS
2025-10-01 09:28:00,2.6251,2.6400,2.5500,2.5687,60656.0000,AIHS
2025-10-01 09:27:00,2.6800,2.6890,2.6200,2.6200,34890.0000,AIHS
2025-10-01 09:26:00,2.6283,2.6900,2.6243,2.6900,44117.0000,AIHS
2025-10-01 09:25:00,2.6100,2.6300,2.6100,2.6300,5267.0000,AIHS
2025-10-01 09:24:00,2.6000,2.6000,2.6000,2.6000,100.0000,AIHS
2025-10-01 09:23:00,2.5900,2.6000,2.5801,2.6000,1974.0000,AIHS
2025-10-01 09:22:00,2.5810,2.5810,2.5810,2.5810,225.0000,AIHS
2025-10-01 09:21:00,2.5800,2.5816,2.5800,2.5816,1669.0000,AIHS
2025-10-01 09:20:00,2.5850,2.5900,2.5800,2.5850,1856.0000,AIHS
2025-10-01 09:19:00,2.5900,2.5900,2.5900,2.5900,403.0000,AIHS
2025-10-01 09:18:00,2.6100,2.6100,2.5950,2.5950,407.0000,AIHS
2025-10-01 09:17:00,2.6100,2.6100,2.5802,2.5805,3300.0000,AIHS
